County,AQI_records_18,Good_18,Moderate_18,Unhealthy_sens_18,Unhealthy_18,Very_unhealthy_18,Hazardous_18,Max_AQI_18,90th_Percentile_AQI_18,Median_AQI_18,CO_18,NO2_18,O3_18,PM2.5_18,PM10_18,AQI_records_19,Good_19,Moderate_19,Unhealthy_sens_19,Unhealthy_19,Very_unhealthy_19,Hazardous_19,Max_AQI_19,90th_Percentile_AQI_19,Median_AQI_19,CO_19,NO2_19,O3_19,PM2.5_19,PM10_19
Pulaski,365,164,199,2,0,0,0,122,66,52,0,1,86,278,0,282.0,251.0,31.0,0.0,0.0,0.0,0.0,67.0,52.0,41.0,0.0,0.0,202.0,80.0,0.0
Union,365,189,173,3,0,0,0,122,63,49,0,0,0,365,0,241.0,135.0,106.0,0.0,0.0,0.0,0.0,99.0,59.0,46.0,0.0,0.0,0.0,241.0,0.0
Union,365,189,173,3,0,0,0,122,63,49,0,0,0,365,0,365.0,167.0,198.0,0.0,0.0,0.0,0.0,100.0,63.0,52.0,0.0,33.0,0.0,332.0,0.0
Union,365,189,173,3,0,0,0,122,63,49,0,0,0,365,0,235.0,175.0,57.0,3.0,0.0,0.0,0.0,105.0,64.0,45.0,0.0,0.0,235.0,0.0,0.0
Union,365,189,173,3,0,0,0,122,63,49,0,0,0,365,0,365.0,313.0,52.0,0.0,0.0,0.0,0.0,88.0,53.0,26.0,0.0,0.0,0.0,364.0,1.0
Union,365,189,173,3,0,0,0,122,63,49,0,0,0,365,0,364.0,306.0,58.0,0.0,0.0,0.0,0.0,97.0,56.0,37.0,0.0,2.0,233.0,121.0,8.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,365.0,193.0,172.0,0.0,0.0,0.0,0.0,97.0,61.0,48.0,0.0,0.0,118.0,247.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,211.0,138.0,72.0,1.0,0.0,0.0,0.0,116.0,59.0,39.0,0.0,0.0,0.0,211.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,364.0,331.0,33.0,0.0,0.0,0.0,0.0,80.0,50.0,39.0,0.0,0.0,364.0,0.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,363.0,360.0,3.0,0.0,0.0,0.0,0.0,71.0,45.0,34.0,0.0,0.0,362.0,1.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,360.0,279.0,81.0,0.0,0.0,0.0,0.0,93.0,58.0,42.0,0.0,0.0,173.0,187.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,260.0,192.0,68.0,0.0,0.0,0.0,0.0,87.0,64.0,37.0,0.0,0.0,170.0,89.0,1.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,116.0,95.0,21.0,0.0,0.0,0.0,0.0,78.0,55.0,34.0,0.0,0.0,0.0,116.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,245.0,219.0,26.0,0.0,0.0,0.0,0.0,87.0,51.0,41.0,0.0,0.0,245.0,0.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,365.0,268.0,96.0,1.0,0.0,0.0,0.0,102.0,62.0,37.0,0.0,8.0,96.0,260.0,1.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,365.0,177.0,188.0,0.0,0.0,0.0,0.0,95.0,66.0,51.0,0.0,0.0,110.0,255.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,352.0,317.0,33.0,2.0,0.0,0.0,0.0,126.0,50.0,38.0,0.0,0.0,202.0,150.0,0.0
Washington,365,196,169,0,0,0,0,87,67,48,0,0,108,257,0,365.0,283.0,82.0,0.0,0.0,0.0,0.0,93.0,61.0,45.0,0.0,0.0,332.0,33.0,0.0
Alameda,365,77,271,5,9,3,0,248,79,57,0,1,22,342,0,365.0,183.0,174.0,8.0,0.0,0.0,0.0,150.0,67.0,50.0,0.0,11.0,94.0,260.0,0.0
Amador,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0,355.0,308.0,45.0,2.0,0.0,0.0,0.0,115.0,51.0,39.0,0.0,0.0,355.0,0.0,0.0
Butte,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1,365.0,171.0,189.0,3.0,2.0,0.0,0.0,180.0,71.0,51.0,0.0,0.0,121.0,243.0,1.0
Butte,365,97,228,22,10,3,5,682,104,59,0,0,148,216,1,361.0,347.0,14.0,0.0,0.0,0.0,0.0,71.0,48.0,40.0,0.0,0.0,359.0,2.0,0.0
Calaveras,364,52,292,14,6,0,0,160,87,58,0,0,71,293,0,360.0,288.0,71.0,1.0,0.0,0.0,0.0,108.0,60.0,43.0,0.0,0.0,297.0,62.0,1.0
Colusa,365,206,131,10,17,1,0,299,84,46,0,0,138,210,17,365.0,260.0,105.0,0.0,0.0,0.0,0.0,85.0,61.0,41.0,0.0,0.0,152.0,173.0,40.0
Contra Costa,365,111,236,7,8,3,0,270,74,55,0,0,45,320,0,365.0,238.0,123.0,4.0,0.0,0.0,0.0,129.0,64.0,43.0,0.0,3.0,171.0,190.0,1.0
Del Norte,180,134,46,0,0,0,0,80,58,33,0,0,0,180,0,248.0,210.0,38.0,0.0,0.0,0.0,0.0,74.0,53.0,26.0,0.0,0.0,0.0,248.0,0.0
El Dorado,365,221,107,27,9,1,0,203,101,45,0,0,347,9,9,365.0,273.0,86.0,6.0,0.0,0.0,0.0,122.0,74.0,43.0,0.0,0.0,353.0,3.0,9.0
Fresno,365,61,206,79,19,0,0,185,133,75,0,0,210,151,4,365.0,113.0,186.0,64.0,2.0,0.0,0.0,187.0,115.0,63.0,0.0,1.0,229.0,118.0,17.0
Glenn,363,242,105,9,6,1,0,255,71,39,0,0,130,185,48,362.0,274.0,88.0,0.0,0.0,0.0,0.0,86.0,58.0,42.0,0.0,0.0,232.0,119.0,11.0
Humboldt,365,301,58,5,1,0,0,167,58,35,0,2,231,117,15,363.0,340.0,23.0,0.0,0.0,0.0,0.0,69.0,44.0,28.0,2.0,1.0,253.0,70.0,37.0
Imperial,365,67,248,41,7,2,0,286,108,64,0,4,103,164,94,365.0,94.0,250.0,19.0,2.0,0.0,0.0,185.0,93.0,61.0,0.0,0.0,185.0,128.0,52.0
