AQI_records_21,Good_21,Moderate_21,Unhealthy_sens_21,Unhealthy_21,Very_unhealthy_21,Hazardous_21,Max_AQI_21,90th_Percentile_AQI_21,Median_AQI_21,CO_21,NO2_21,O3_21,PM2.5_21,PM10_21,State_County_Year
361,298,56,7,0,0,0,144,61,28,0,0,0,361,0,IdahoTwin Falls2021
351,217,125,7,2,0,0,162,72,41,0,0,0,351,0,IdahoValley2021
242,219,23,0,0,0,0,93,50,40,0,0,242,0,0,IllinoisAdams2021
365,236,129,0,0,0,0,99,63,44,0,0,143,222,0,IllinoisChampaign2021
363,344,19,0,0,0,0,84,46,34,0,0,363,0,0,IllinoisClark2021
365,87,257,20,1,0,0,156,89,59,0,7,78,255,25,IllinoisCook2021
365,179,184,2,0,0,0,105,69,51,0,0,100,265,0,IllinoisDuPage2021
237,226,11,0,0,0,0,77,46,37,0,0,237,0,0,IllinoisEffingham2021
364,207,155,2,0,0,0,115,63,48,0,0,83,281,0,IllinoisHamilton2021
360,225,133,2,0,0,0,112,61,45,0,0,120,240,0,IllinoisJersey2021
362,336,26,0,0,0,0,97,47,36,0,0,362,0,0,IllinoisJo Daviess2021
285,188,96,1,0,0,0,112,67,44,0,0,189,96,0,IllinoisKane2021
244,180,55,9,0,0,0,136,77,42,0,0,244,0,0,IllinoisLake2021
361,179,179,3,0,0,0,112,67,51,0,0,92,269,0,IllinoisMacon2021
358,339,19,0,0,0,0,93,48,31,0,131,227,0,0,IllinoisMacoupin2021
365,82,277,6,0,0,0,143,74,57,0,0,65,300,0,IllinoisMadison2021
363,187,174,2,0,0,0,105,68,49,0,0,115,248,0,IllinoisMcHenry2021
365,191,173,1,0,0,0,107,63,48,0,0,89,276,0,IllinoisMcLean2021
361,181,179,1,0,0,0,101,65,50,0,0,92,269,0,IllinoisPeoria2021
355,223,131,1,0,0,0,122,61,45,0,0,119,236,0,IllinoisRandolph2021
361,191,167,3,0,0,0,112,66,49,0,0,95,266,0,IllinoisRock Island2021
365,141,221,2,1,0,0,185,68,53,0,2,63,300,0,IllinoisSaint Clair2021
362,233,129,0,0,0,0,98,62,43,0,0,100,262,0,IllinoisSangamon2021
365,157,206,2,0,0,0,105,67,52,0,0,83,282,0,IllinoisWill2021
360,190,170,0,0,0,0,100,68,49,0,0,114,246,0,IllinoisWinnebago2021
365,257,108,0,0,0,0,100,63,40,0,0,226,139,0,IndianaAllen2021
364,252,112,0,0,0,0,93,61,43,0,0,163,201,0,IndianaBartholomew2021
365,337,27,1,0,0,0,101,48,33,0,0,365,0,0,IndianaBoone2021
361,341,20,0,0,0,0,84,46,33,0,0,361,0,0,IndianaBrown2021
365,338,26,1,0,0,0,105,48,34,0,0,365,0,0,IndianaCarroll2021
365,160,205,0,0,0,0,96,71,52,0,0,59,306,0,IndianaClark2021
362,299,63,0,0,0,0,97,57,37,0,0,293,69,0,IndianaDelaware2021
125,77,48,0,0,0,0,94,64,43,0,0,0,119,6,IndianaDubois2021
365,214,151,0,0,0,0,87,62,45,0,0,139,226,0,IndianaElkhart2021
363,340,23,0,0,0,0,100,48,34,0,0,363,0,0,IndianaFloyd2021
356,288,68,0,0,0,0,100,57,38,0,0,287,69,0,IndianaGreene2021
365,232,133,0,0,0,0,100,66,44,0,0,155,210,0,IndianaHamilton2021
365,347,18,0,0,0,0,80,46,33,0,0,365,0,0,IndianaHendricks2021
117,78,39,0,0,0,0,82,62,38,0,0,0,117,0,IndianaHenry2021
361,227,132,2,0,0,0,105,62,44,0,0,164,197,0,IndianaHoward2021
360,320,38,2,0,0,0,108,51,36,0,0,360,0,0,IndianaKnox2021
365,282,78,5,0,0,0,143,64,37,0,0,309,56,0,IndianaLaPorte2021
365,134,225,5,1,0,0,175,72,54,0,2,53,308,2,IndianaLake2021
364,199,165,0,0,0,0,97,67,48,0,0,124,240,0,IndianaMadison2021
365,81,278,6,0,0,0,114,81,58,0,2,31,332,0,IndianaMarion2021
352,223,129,0,0,0,0,95,61,43,0,0,0,352,0,IndianaMonroe2021
363,334,29,0,0,0,0,97,50,36,0,0,363,0,0,IndianaPerry2021
365,204,154,7,0,0,0,136,68,47,0,0,149,205,11,IndianaPorter2021
360,344,16,0,0,0,0,77,45,32,0,0,360,0,0,IndianaPosey2021
365,345,20,0,0,0,0,100,46,33,0,0,365,0,0,IndianaShelby2021
120,78,42,0,0,0,0,89,62,42,0,0,0,120,0,IndianaSpencer2021
365,169,195,1,0,0,0,105,71,52,0,0,96,269,0,IndianaSt. Joseph2021
349,213,136,0,0,0,0,97,62,44,0,0,0,349,0,IndianaTippecanoe2021
365,176,188,1,0,0,0,109,68,51,0,0,76,289,0,IndianaVanderburgh2021
365,172,193,0,0,0,0,99,67,51,0,0,100,265,0,IndianaVigo2021
362,327,34,1,0,0,0,101,50,35,0,0,362,0,0,IndianaWabash2021
365,337,27,1,0,0,0,105,48,35,0,0,365,0,0,IndianaWarrick2021
361,203,158,0,0,0,0,96,64,47,0,0,0,361,0,IndianaWhitley2021
365,211,154,0,0,0,0,96,63,47,0,0,0,365,0,IowaBlack Hawk2021
244,223,21,0,0,0,0,90,49,40,0,0,244,0,0,IowaBremer2021
120,118,2,0,0,0,0,56,31,19,0,0,0,0,120,IowaCerro Gordo2021
365,134,229,2,0,0,0,112,70,55,0,0,62,303,0,IowaClinton2021
243,216,27,0,0,0,0,87,54,39,0,0,243,0,0,IowaHarrison2021
364,172,190,2,0,0,0,121,67,52,0,0,0,364,0,IowaJohnson2021
101,63,38,0,0,0,0,73,63,42,0,0,0,101,0,IowaLee2021
365,160,201,4,0,0,0,123,69,52,0,0,75,290,0,IowaLinn2021
351,250,100,1,0,0,0,112,58,42,0,0,109,242,0,IowaMontgomery2021
365,211,154,0,0,0,0,90,63,45,0,0,0,363,2,IowaMuscatine2021
362,250,108,2,2,0,0,167,64,43,0,0,136,226,0,IowaPalo Alto2021
365,227,137,1,0,0,0,110,64,45,0,7,115,243,0,IowaPolk2021
124,83,40,1,0,0,0,117,62,44,0,0,0,123,1,IowaPottawattamie2021
365,145,219,1,0,0,0,102,70,53,0,0,73,241,51,IowaScott2021
362,223,139,0,0,0,0,94,60,44,0,0,88,274,0,IowaVan Buren2021
115,79,35,0,1,0,0,168,63,42,0,0,0,115,0,IowaWoodbury2021
120,102,18,0,0,0,0,99,52,27,0,0,0,120,0,KansasChase2021
358,353,5,0,0,0,0,80,32,17,0,0,0,0,358,KansasFord2021
364,207,153,4,0,0,0,138,65,46,0,0,117,247,0,KansasJohnson2021
348,330,16,2,0,0,0,126,47,34,0,0,348,0,0,KansasLeavenworth2021
362,171,189,2,0,0,0,145,66,51,0,0,78,277,7,KansasNeosho2021
365,224,136,5,0,0,0,141,66,46,0,6,188,163,8,KansasSedgwick2021
365,189,173,2,1,0,0,151,65,49,0,0,86,279,0,KansasShawnee2021
320,308,11,0,0,1,0,221,38,17,0,0,0,0,320,KansasSherman2021
365,167,194,4,0,0,0,147,68,52,0,0,94,266,5,KansasSumner2021
362,248,108,5,0,0,1,318,66,43,0,2,235,117,8,KansasTrego2021
365,154,204,7,0,0,0,145,69,53,0,0,78,287,0,KansasWyandotte2021
364,164,198,2,0,0,0,112,68,52,0,0,47,317,0,KentuckyBell2021
