Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,State_County_Year
348,235,113,0,0,0,0,84,59,41,0,0,0,348,0,indianawhitley2018
365,140,225,0,0,0,0,84,66,53,0,0,0,365,0,iowablackhawk2018
245,224,19,2,0,0,0,112,50,37,0,0,245,0,0,iowabremer2018
115,115,0,0,0,0,0,46,31,16,0,0,0,0,115,iowacerrogordo2018
365,168,197,0,0,0,0,100,68,52,0,0,88,277,0,iowaclinton2018
245,213,30,2,0,0,0,101,58,39,0,0,245,0,0,iowaharrison2018
362,186,176,0,0,0,0,93,61,50,0,0,0,362,0,iowajohnson2018
121,70,51,0,0,0,0,78,61,45,0,0,0,121,0,iowalee2018
365,185,176,4,0,0,0,129,67,50,0,0,96,269,0,iowalinn2018
365,219,146,0,0,0,0,93,63,46,0,0,92,273,0,iowamontgomery2018
365,154,211,0,0,0,0,95,66,52,0,0,0,365,0,iowamuscatine2018
365,188,175,2,0,0,0,115,66,49,0,0,104,261,0,iowapaloalto2018
365,225,138,2,0,0,0,112,62,46,0,2,147,216,0,iowapolk2018
124,80,43,1,0,0,0,102,61,42,0,0,0,119,5,iowapottawattamie2018
365,100,261,4,0,0,0,108,72,56,0,0,33,274,58,iowascott2018
359,230,129,0,0,0,0,100,61,43,0,0,110,248,1,iowavanburen2018
122,81,41,0,0,0,0,93,58,44,0,0,0,122,0,iowawoodbury2018
116,96,20,0,0,0,0,67,53,30,0,0,0,116,0,kansaschase2018
354,325,28,1,0,0,0,129,41,17,0,0,0,0,354,kansasford2018
363,277,86,0,0,0,0,92,61,40,0,0,222,141,0,kansasjohnson2018
362,325,37,0,0,0,0,100,51,33,0,0,362,0,0,kansasleavenworth2018
359,285,74,0,0,0,0,87,57,40,0,0,285,68,6,kansasneosho2018
365,238,127,0,0,0,0,100,64,44,0,10,194,110,51,kansassedgwick2018
365,194,171,0,0,0,0,99,67,50,0,0,98,267,0,kansasshawnee2018
350,344,6,0,0,0,0,91,31,14,0,0,0,0,350,kansassherman2018
365,293,72,0,0,0,0,90,58,38,0,1,282,67,15,kansassumner2018
364,287,76,1,0,0,0,130,61,39,0,1,289,73,1,kansastrego2018
365,200,162,2,1,0,0,172,71,48,0,8,139,217,1,kansaswyandotte2018
256,224,32,0,0,0,0,84,52,39,0,0,215,41,0,kentuckybell2018
243,218,23,1,1,0,0,151,51,38,0,0,243,0,0,kentuckyboone2018
364,245,118,1,0,0,0,119,59,44,0,10,113,241,0,kentuckyboyd2018
233,196,35,2,0,0,0,150,58,38,0,0,233,0,0,kentuckybullitt2018
350,206,143,1,0,0,0,101,60,45,0,12,83,255,0,kentuckycampbell2018
281,248,33,0,0,0,0,80,52,35,0,0,195,86,0,kentuckycarter2018
280,217,63,0,0,0,0,90,58,41,0,0,193,87,0,kentuckychristian2018
357,206,150,1,0,0,0,112,63,46,0,16,86,255,0,kentuckydaviess2018
365,234,131,0,0,0,0,100,61,43,2,0,109,254,0,kentuckyedmonson2018
