State,County,age_adjusted_trend,crude_trend,latest_age_adjusted,latest_crude,rank
Maryland,Caroline,-0.41999999999998283,-0.38999999999996376,7.2,8.5,4230.5
Wisconsin,Waukesha,-0.09999999999997719,-0.07999999999997301,4.0,4.9,4231.5
Louisiana,West Feliciana,-0.32999999999993523,-0.3599999999999311,6.7,7.4,4233.0
Virginia,Stafford,-0.11999999999998968,-0.10999999999999127,4.9,4.9,4237.0
Georgia,Lowndes,-0.41999999999999715,-0.3500000000000004,7.2,6.9,4237.5
Louisiana,Lafayette,-0.32999999999995794,-0.2799999999999506,6.7,7.1,4238.0
Kansas,Linn,-0.3599999999999841,-0.3799999999999877,6.9,8.8,4238.0
Michigan,Menominee,-0.4400000000000176,-0.46000000000001606,7.3,9.7,4242.0
Mississippi,Webster,-0.5299999999999655,-0.5899999999999569,7.5,8.8,4243.0
Pennsylvania,Bucks,-0.11999999999999693,-0.1099999999999914,4.9,6.0,4243.0
Virginia,Louisa,-0.3400000000000174,-0.3800000000000186,6.8,8.4,4250.5
Washington,Benton,-0.1499999999999922,-0.07999999999997226,5.3,5.9,4253.5
Wisconsin,Rock,-0.16999999999999013,-0.11999999999998219,5.5,6.4,4258.0
Michigan,Wexford,-0.6300000000000041,-0.6200000000000049,7.6,9.3,4261.0
Alabama,St. Clair,-0.45000000000000756,-0.4400000000000025,7.3,8.5,4261.0
California,Sierra,-0.2000000000000005,-0.24000000000000904,5.8,8.3,4263.5
North Dakota,Cass,-0.10999999999999843,-0.08000000000000268,4.6,4.4,4263.5
North Dakota,Barnes,-0.15000000000000005,-0.1500000000000001,5.3,6.6,4264.5
Michigan,Lenawee,-0.38999999999998747,-0.369999999999975,7.0,8.4,4266.5
Alabama,Elmore,-0.3300000000000034,-0.27999999999999564,6.7,7.6,4266.5
Kentucky,Spencer,-0.40999999999999925,-0.3799999999999881,7.1,8.3,4267.0
Hawaii,Hawaii,-0.12999999999998849,-0.10999999999998336,5.0,6.1,4269.0
Michigan,Gratiot,-0.5499999999999788,-0.5599999999999762,7.5,8.3,4269.0
North Dakota,McLean,-0.1599999999999918,-0.07999999999998789,5.4,7.2,4270.0
Maryland,Allegany,-0.4099999999999997,-0.3899999999999958,7.1,8.2,4272.0
New Hampshire,Merrimack,-0.2199999999999516,-0.16999999999994395,5.9,7.0,4273.0
Florida,Monroe,-0.25000000000008155,-0.2500000000001114,6.2,8.0,4274.0
California,Santa Clara,-0.10000000000000016,-0.049999999999992564,3.3,3.5,4275.0
New York,Greene,-0.39000000000000273,-0.3900000000000027,7.0,8.7,4276.0
Idaho,Oneida,-0.22999999999997292,-0.25999999999996853,6.0,7.5,4276.5
Idaho,Ada,-0.11999999999998934,-0.0699999999999824,4.7,5.1,4278.5
Nebraska,Hitchcock,-0.21999999999996694,-0.23999999999995628,5.9,7.9,4281.0
Georgia,Clayton,-0.3199999999999904,-0.23999999999997948,6.6,6.6,4281.5
Georgia,Crawford,-0.5600000000000225,-0.5100000000000214,7.5,9.4,4282.0
Virginia,Mathews,-0.2400000000000172,-0.22000000000002717,6.1,8.7,4285.0
North Carolina,Forsyth,-0.26999999999998225,-0.2299999999999734,6.3,7.1,4285.5
Florida,Lee,-0.35000000000008924,-0.3000000000001244,6.8,9.4,4285.5
Kentucky,Kenton,-0.4199999999999743,-0.39999999999996966,7.1,7.8,4287.0
Wisconsin,Marathon,-0.13999999999999446,-0.11999999999998932,5.1,6.1,4294.0
New York,Schoharie,-0.3999999999999783,-0.39999999999997105,7.0,8.7,4295.0
Oklahoma,Beaver,-0.3200000000000054,-0.29999999999997734,6.6,8.2,4295.0
Nevada,Douglas,-0.1999999999999778,-0.12999999999995807,5.7,8.2,4296.0
Virginia,James City,-0.12999999999998857,-0.05999999999999032,4.9,6.5,4297.0
Kansas,Hamilton,-0.3099999999999302,-0.1699999999998913,6.5,7.4,4297.5
Michigan,Muskegon,-0.4699999999999973,-0.4899999999999952,7.3,8.4,4298.0
Virginia,Spotsylvania,-0.19999999999998483,-0.18999999999997927,5.7,6.3,4301.0
Louisiana,East Feliciana,-0.5899999999999489,-0.579999999999943,7.5,8.9,4303.0
North Carolina,Harnett,-0.35999999999997695,-0.26999999999996716,6.8,7.1,4303.5
Wyoming,Uinta,-0.2899999999999869,-0.2799999999999806,6.4,7.3,4304.0
Kansas,Sedgwick,-0.20999999999996896,-0.15999999999996095,5.8,6.4,4305.5
Wisconsin,Dane,-0.10999999999998367,-0.06999999999998203,4.1,4.2,4305.5
Kansas,Pottawatomie,-0.1799999999999731,-0.13999999999997179,5.5,6.1,4307.5
Virginia,Northampton,-0.39999999999999314,-0.34999999999998493,7.0,9.8,4307.5
Tennessee,Wilson,-0.28999999999999476,-0.27999999999998826,6.4,7.3,4309.0
New York,Ontario,-0.21999999999999767,-0.16999999999998994,5.9,7.3,4310.0
Michigan,Berrien,-0.39999999999999986,-0.3499999999999929,7.0,8.6,4310.0
Missouri,Putnam,-0.5200000000000048,-0.6200000000000138,7.4,9.6,4310.5
Kansas,Seward,-0.32999999999994195,-0.13999999999991797,6.6,6.6,4311.5
Texas,Rockwall,-0.12999999999998094,-0.10999999999996836,4.8,5.2,4312.0
Mississippi,Tate,-0.47999999999996584,-0.4399999999999567,7.3,8.3,4312.0
South Carolina,McCormick,-0.3400000000000018,-0.3500000000000081,6.7,9.9,4313.0
Virginia,Greene,-0.2900000000000016,-0.2800000000000033,6.4,7.6,4313.5
New York,Saratoga,-0.1799999999999882,-0.13999999999998639,5.5,6.6,4314.0
Tennessee,Davidson,-0.29000000000000214,-0.23999999999998645,6.4,6.4,4315.0
North Carolina,Gaston,-0.40000000000000097,-0.37999999999999645,7.0,7.9,4315.0
New York,Tompkins,-0.20999999999999858,-0.1299999999999877,5.8,5.5,4318.5
Wisconsin,Brown,-0.13999999999998666,-0.08999999999997933,5.0,5.6,4322.0
Georgia,Spalding,-0.5299999999999953,-0.5499999999999937,7.4,8.6,4322.5
Delaware,Kent,-0.3400000000000323,-0.3000000000000232,6.7,7.7,4323.0
Pennsylvania,Chester,-0.11999999999999716,-0.09999999999999268,4.5,5.2,4326.5
Vermont,Rutland,-0.2100000000000134,-0.17000000000001245,5.8,7.4,4327.5
Mississippi,Harrison,-0.4099999999999538,-0.3399999999999488,7.0,7.8,4328.0
California,Alameda,-0.10999999999999115,-0.06999999999998155,3.7,4.0,4328.0
Nebraska,Jefferson,-0.23999999999997199,-0.2699999999999663,6.0,7.8,4330.5
New Jersey,Morris,-0.11428571428571553,-0.11428571428571567,4.0,4.8,4332.5
