Date,Source,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
08/04/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/05/2021,AQS,540290009,1,15,ug/m3 SC,14,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/06/2021,AQS,540290009,1,21,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/07/2021,AQS,540290009,1,23,ug/m3 SC,21,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/08/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/09/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,79,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/26/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/27/2021,AQS,540290009,1,23,ug/m3 SC,21,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/28/2021,AQS,540290009,1,23,ug/m3 SC,21,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/29/2021,AQS,540290009,1,25,ug/m3 SC,23,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/30/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
08/31/2021,AQS,540290009,1,18,ug/m3 SC,17,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/01/2021,AQS,540290009,1,12,ug/m3 SC,11,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/02/2021,AQS,540290009,1,12,ug/m3 SC,11,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/03/2021,AQS,540290009,1,11,ug/m3 SC,10,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/04/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/05/2021,AQS,540290009,1,14,ug/m3 SC,13,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/06/2021,AQS,540290009,1,17,ug/m3 SC,16,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/07/2021,AQS,540290009,1,23,ug/m3 SC,21,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/08/2021,AQS,540290009,1,20,ug/m3 SC,19,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/09/2021,AQS,540290009,1,13,ug/m3 SC,12,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
09/10/2021,AQS,540290009,1,15,ug/m3 SC,14,,1,100,81102,PM10 Total 0-10um STP,239,48260,"Weirton-Steubenville, WV-OH",54,West Virginia,29,Hancock,40.42737182,-80.59231781
